"","state","zip","agi"
"486","AL",36585,50000
"487","AL",36587,46648
"488","AL",36602,57880
"489","AL",36603,25000
"490","AL",36604,50155
"491","AL",36605,31480
"492","AL",36606,38965
"493","AL",36607,44734
"494","AL",36608,58462
"495","AL",36609,45359
"496","AL",36610,21549
"497","AL",36611,32468
"498","AL",36612,23071
"499","AL",36613,37397
"500","AL",36617,26173
"501","AL",36618,40355
"502","AL",36619,54364
"503","AL",36693,56471
"504","AL",36695,63793
"505","AL",36701,39786
"506","AL",36703,30810
"507","AL",36720,22656
"508","AL",36722,29166
"509","AL",36726,40760
"510","AL",36728,30092
"511","AL",36732,48531
"512","AL",36736,36750
"513","AL",36738,30067
"514","AL",36740,33333
"515","AL",36742,47606
"516","AL",36744,36450
"517","AL",36748,46496
"518","AL",36749,41987
"519","AL",36750,45326
"520","AL",36751,25735
"521","AL",36752,49315
"522","AL",36754,30000
"523","AL",36756,36111
"524","AL",36758,43500
"525","AL",36759,35169
"526","AL",36761,37500
"527","AL",36765,28826
"528","AL",36767,29794
"529","AL",36768,30000
"530","AL",36769,33558
"531","AL",36773,29687
"532","AL",36775,33467
"533","AL",36776,26483
"534","AL",36782,45982
"535","AL",36783,47265
"536","AL",36784,48219
"537","AL",36785,35714
"538","AL",36786,25098
"539","AL",36790,44318
"540","AL",36792,46875
"541","AL",36793,41447
"542","AL",36801,45859
"543","AL",36804,45053
"544","AL",36830,68337
"545","AL",36832,42213
"546","AL",36850,33452
"547","AL",36852,37254
"548","AL",36853,54628
"549","AL",36854,40494
"550","AL",36855,42324
"551","AL",36856,48717
"552","AL",36858,33750
"553","AL",36860,32276
"554","AL",36861,53503
"555","AL",36862,36607
"556","AL",36863,36354
"557","AL",36866,39531
"558","AL",36867,43633
"559","AL",36869,34883
"560","AL",36870,47061
"561","AL",36871,39062
"562","AL",36874,52834
"563","AL",36875,44281
"564","AL",36877,51267
"565","AL",36879,68750
"566","AL",36904,51041
"567","AL",36907,35000
"568","AL",36908,57758
"569","AL",36912,31617
"570","AL",36915,52840
"571","AL",36916,48913
"572","AL",36919,45205
"573","AL",36921,52616
"574","AL",36922,28125
"575","AL",36925,27685
"576","AZ",85003,64271
"577","AZ",85004,65131
"578","AZ",85006,34871
"579","AZ",85007,44397
"580","AZ",85008,33679
"581","AZ",85009,26268
"582","AZ",85012,78285
"583","AZ",85013,59730
"584","AZ",85014,51703
"585","AZ",85015,33985
"586","AZ",85016,64502
"587","AZ",85017,25915
"588","AZ",85018,82172
"589","AZ",85019,29233
"590","AZ",85020,61357
"591","AZ",85021,51593
"592","AZ",85022,56674
"593","AZ",85023,52537
"594","AZ",85024,65350
"595","AZ",85027,49096
"596","AZ",85028,85066
"597","AZ",85029,39702
"598","AZ",85031,26876
"599","AZ",85032,51056
"600","AZ",85033,28113
"601","AZ",85034,33793
"602","AZ",85035,27511
"603","AZ",85037,36199
"604","AZ",85040,30794
"605","AZ",85041,38096
"606","AZ",85042,45239
"607","AZ",85043,37116
"608","AZ",85044,70197
